0,1
,
"""One Piece""",4 Maret 2000
"One Piece adalah film pertama dari serial animasi One Piece yang menghadirkan keempat protagonis one piece, Monkey D. Luffy, Roronoa Zoro, Nami, dan Usopp.

Setelah menghilang cukup lama, harta karun sang bajak laut bernama Woonan tersembunyi di salah satu belahan dunia. Banyak bajak laut lain mencari harta tersebut di gunung dimana Ia menyembunyikan emasnya. diantaranya adalah El Drago dan krunya. dengan memburu setiap mantan kru Woonan, El Drago mengumpulkan peta menuju pulau rahasia tempat gunung Woonan berada. saat menuju ke gunung tersebut, EL Drago Bertemu dengan bajak laut topi jerami dan hendak merampoknya.",
"""Clockwork Island Adventure""",3 Maret 2001
Petualangan Kelompok Bajak Laut Topi Jerami di pulau misterius di East Blue yaitu Clockwork Island untuk mengejar kapal mereka yang dicuri Kartu Bersaudara.,
"""Chopper's Kingdom on the Island of Strange Animals""",2 Maret 2002
Kisah yang terpusat pada Tony Tony Chopper yang mendadak menjadi seorang Raja dari segala hewan.,
"""Dead End Adventure""",1 Maret 2003
Kisah tentang perlombaan balap kapal yang diikuti Topi Jerami karena kekurangan biaya. Tetapi ternyata pertandingan ini telah dikorup oleh Bajak Laut yaitu Jenderal Gasparade.,
"""The Cursed Holy Sword""",6 Maret 2004
"Cerita yang terpusat pada Roronoa Zoro, bercerita tentang keberadaan pedang terkutuk, Pedang Tujuh Bintang yang merasuki teman masa kecil Zoro, Saga.",
"""Baron Omatsuri and the Secret Island""",5 Maret 2005
Cerita tentang kru Bajak Laut Topi Jerami yang hilang satu per satu di pulau Omatsuri.,
"""Giant Mecha Soldier of Karakuri Castle""",4 Maret 2006
Bercerita tentang keberadaan pulau canggih yang dibangun Dr. Ratchet. Kelompok Topi Jerami bertujuan akan menghentikan ambisi Ratchet untuk menguasai dunia.,
"""The Desert Princess and the Pirates: Adventures in Alabasta.""",3 Maret 2007
Menceritakan kembali sepenuhnya cerita Arabasta (akhir dari kisah Baroque Works).,
"""'Episode of Chopper Plus: Bloom in the Winter, Miracle Cherry Blossom""",1 Maret 2008
Menceritakan kembali kisah Drum Kingdom (bergabungnya Chopper) tetapi dengan kru yang sudah mencakup Nico Robin dan Franky. Disertai dengan beberapa penyesuaian cerita lainnya.,
"""Strong World""",12 Desember 2009
"Ini adalah film pertama dari one piece yang menghadirkan Brook. Film ini merupakan prequel dari manga yang menceritakan masa lalu shinki sebelum cerita dalam film ini dimulai. Film ini juga merupakan film pertama yang ditulis sendiri oleh pembuatnya, Eiichiro Oda, sebagai peringatan ulang tahun ke-sepuluh dari serial animenya.

Cerita ini berlangsung setelah kejadian di ""Thriller Bark"" dari cerita original. Film ini menceritakan bahwa East Blue yang sudah dikuasai oleh salah satu bajak laut lagendaris yang bernama Shiki atau ""Golden Lion Shiki"", dan nami diculik. Tugas kelompok topi jerami dalam cerita ini adalah menghentikan rencana Shinki dan menyelamatkan Nami.",
"""Straw Hat Chase""",19 Maret 2011
Serial movie One Piece 3D - 2011,
"""One Piece: Film Z""",15 Desember 2012
"Merupakan film slot-in setelah episode 575-578, dimana kelompok bajak laut luffy bertemu dengan Marinir Neo (Neo Navy) yang dipimpin oleh Shuzo.
Dalam film ke-12 ini, mereka bertemu dengan Master Z (Zephyr) seorang Mantan Admiral Angkatan Laut, yang juga merupakan guru dari para marinir terkenal seperti akainu, kizaru, aokiji, smoker, hina. Saat cerita ini berlangsung, Zephyr telah keluar dari Angkatan laut dan Membentuk Angkatan Laut Baru dengan sebutan Neo Navy dan bermaksud menghancurkan new world dengan menghancurkan seluruh end point.

Pada titik tertentu dalam film, kelompok luffy mengenakan baju Armani Exchange, yang merupakan kolaborasi dari Armani Exchange dan Eiichiro Oda.",
"""One Piece Film: Gold."" (ワンピースフィルムゴールド)",23 Juli 2016
"Ceritanya berlokasikan di Gran Tesoro, sebuah kota hiburan yang berdiri sendiri (independent). Tidak ada yang bisa mengatur atau mengganggu kota tersebut, sekalipun itu Pemerintahan Dunia. Luffy, si Topi Jerami dan kawanannya akan menuju ke kota tersebut. Disana mereka akan berhadapan dengan raja casino bernama Gild Tesoro dan kelompoknya.",
